architecture_id,rotations,entanglement,reps,twoq_count,n_params,val_balanced_accuracy,ideal_test_balanced_accuracy
A000,ry,full_chain,1,3,4,0.8633333333333333,0.8867478025693036
A003,ry,full_chain,4,12,16,0.8966666666666667,0.9039891818796484
A013,ry,right_ladder,2,4,8,0.8966666666666667,0.9039891818796484
A015,ry,right_ladder,4,8,16,0.8633333333333333,0.8867478025693036
A018,rx+rz,full_chain,3,9,24,0.8733333333333333,0.9016227180527384
A020,rx+rz,outer_pairs,1,2,8,0.8733333333333333,0.9016227180527384
A022,rx+rz,outer_pairs,3,6,24,0.8733333333333333,0.9016227180527384
A025,rx+rz,left_ladder,2,4,16,0.8733333333333333,0.9114266396213656
A037,ry+rz,outer_pairs,2,4,16,0.8633333333333333,0.8695064232589587
A040,ry+rz,left_ladder,1,2,8,0.8966666666666667,0.9039891818796484
A042,ry+rz,left_ladder,3,6,24,0.9133333333333332,0.8867478025693036
A045,ry+rz,right_ladder,2,4,16,0.8133333333333332,0.8695064232589587
A047,ry+rz,right_ladder,4,8,32,0.88,0.8867478025693036
A058,rx+ry+rz,left_ladder,3,6,36,0.8,0.8062880324543611
A059,rx+ry+rz,left_ladder,4,8,48,0.8966666666666667,0.9039891818796484
A063,rx+ry+rz,right_ladder,4,8,48,0.8166666666666667,0.8624070317782285
