dataset,backend,snapshot,architecture_id,entanglement,reps,twoq_count,logical_depth,probability_mae,probability_mae_seed_sd,probability_rmse,delta_logloss,delta_brier,delta_auc,delta_bacc,rotations,N2Q,Depth,E2Q,OLD,CARE,oneq,readout,relax,dephase
breast_cancer,ibm_fez,0,A000,full_chain,1,3,4,0.021352348974665387,0.00012280873949280214,0.022681568564620874,0.016135976602389763,0.001761928130082131,0.0,0.0,ry,3.0,4.0,0.018218662768356427,0.06371821292605209,0.05988191340041049,0.012846211328114024,0.016616789502093072,0.007672599051283221,0.004527650750563749
breast_cancer,ibm_fez,0,A003,full_chain,4,12,13,0.03908192057985908,0.002666182403452725,0.04180754017285825,0.03974707711489564,0.008570685104045997,0.0,0.0,ry,12.0,13.0,0.07287465107342571,0.1734667316212897,0.16107365227373116,0.03211552832028506,0.016616789502093072,0.024786158695117078,0.01468052468281023
breast_cancer,ibm_fez,0,A013,right_ladder,2,4,7,0.017481393081525937,0.0009215607464464439,0.018575643859172212,0.015019360434687453,0.0022914707704156843,0.0,0.0,ry,4.0,7.0,0.01022577222965498,0.06655378904786732,0.06171524618366427,0.019269316992171034,0.016616789502093072,0.009677085728406096,0.00592628173133909
breast_cancer,ibm_fez,0,A015,right_ladder,4,8,13,0.02033292751755826,0.0033677831456571327,0.022000475890925478,0.016862481749030673,0.0028555679744886133,0.0,0.0,ry,8.0,13.0,0.02045154445930996,0.10597220473476174,0.09727915859135827,0.03211552832028506,0.016616789502093072,0.01738609228680692,0.01070920402286326
breast_cancer,ibm_fez,0,A018,full_chain,3,9,13,0.02933218158455354,0.0011816167294348122,0.031907521072256056,0.029619693459113656,0.00732965496386441,0.0,0.0,rx+rz,9.0,13.0,0.054655988305069285,0.1368838920562105,0.12734307264929093,0.025692422656228047,0.016616789502093072,0.019081638813839126,0.011296233372061402
breast_cancer,ibm_fez,0,A020,outer_pairs,1,2,4,0.01703549986320385,0.00015044056582996942,0.018871514400368116,0.016914328978823983,0.004040632458098423,0.0,0.0,rx+rz,2.0,4.0,0.015231770392419753,0.058687655054938184,0.05532551980617918,0.012846211328114024,0.016616789502093072,0.00672427049751801,0.003906478086034323
breast_cancer,ibm_fez,0,A022,outer_pairs,3,6,10,0.027564478287245956,0.0013595237788279165,0.030242862419191375,0.028883588709021985,0.007840714485845732,0.0,0.0,rx+rz,6.0,10.0,0.04569531117725926,0.12179221844286872,0.11367389186659699,0.025692422656228047,0.016616789502093072,0.016236653152543492,0.009432715378473122
breast_cancer,ibm_fez,0,A025,left_ladder,2,4,9,0.023165449508194557,0.00024690540733511145,0.025404945891211204,0.023600923968819316,0.00579697932685994,0.0,0.004065040650406471,rx+rz,4.0,9.0,0.03218533805893122,0.09198092026422441,0.08623045635337376,0.019269316992171034,0.016616789502093072,0.011500927821701316,0.00665808397847711
breast_cancer,ibm_fez,0,A037,outer_pairs,2,4,7,0.0247144726148819,0.004252083475186772,0.026921556913178477,0.022807442519659642,0.004638978694981852,0.0,-0.007246376811594198,ry+rz,4.0,7.0,0.030463540784839507,0.09023993674890346,0.08449970583638808,0.019269316992171034,0.016616789502093072,0.01148046182503075,0.006669596732253721
breast_cancer,ibm_fez,0,A040,left_ladder,1,2,5,0.018374419836652486,0.0017154661883622053,0.01993207250858083,0.017521534780389203,0.003664068147484665,0.0,0.0,ry+rz,2.0,5.0,0.01609266902946561,0.059558146812598654,0.05619089506467201,0.012846211328114024,0.016616789502093072,0.006734503495853293,0.0039007217091460164
