backend,snapshot,requested_timestamp,returned_timestamp,physical_qubits,raw_sha256
ibm_fez,0,2026-05-26T00:00:00Z,2026-05-25 23:54:08+00:00,"[0, 1, 2, 3]",8f7928f8110fd5169598088d8e8175bbd9b2ec376446afde58feb03e101d7f9b
ibm_fez,2,2026-06-23T00:00:00Z,2026-06-22 23:34:56+00:00,"[0, 1, 2, 3]",eeac4236350f3f8319563533ce5002411f0dbce593d5bee5bdd3d19f7bc7693d
ibm_fez,4,2026-07-21T00:00:00Z,2026-07-20 22:31:32+00:00,"[0, 1, 2, 3]",eda67ed6d2a9757cab3ecd6a48df13026b2c138f6b2374ddf4349c21a333ead7
ibm_fez,7,2026-09-01T00:00:00Z,2026-08-31 23:35:49+00:00,"[0, 1, 2, 3]",cc36532b82c2dfde782d538d26d799274b297c057f516496ef9629d06ccd1821
ibm_kingston,0,2026-05-26T00:00:00Z,2026-05-25 23:38:23+00:00,"[0, 1, 2, 3]",3be5331c660a83f5cf338b53533059319f39365845e7fdd8566136cd20f07abf
ibm_kingston,2,2026-06-23T00:00:00Z,2026-06-22 23:35:17+00:00,"[0, 1, 2, 3]",03f1b416507a15a073021a9c4d98eb891df12cafc6df1619fb0b5331f4bf0c92
ibm_kingston,4,2026-07-21T00:00:00Z,2026-07-20 23:06:47+00:00,"[0, 1, 2, 3]",a03d8eb3cc8f921ff673092b9ccd735555802c4aab58cd4b60511287cd7d7255
ibm_kingston,7,2026-09-01T00:00:00Z,2026-08-31 23:25:38+00:00,"[0, 1, 2, 3]",a8c18d01f0f4eced6c9e7905315b01a6ab72f784aa428fdd21e2dd02815edc04
ibm_marrakesh,0,2026-05-26T00:00:00Z,2026-05-25 22:55:13+00:00,"[0, 1, 2, 3]",95ac326c7ec72fdebe64256704ecb726efa58eb45320e962789d123e46057183
ibm_marrakesh,2,2026-06-23T00:00:00Z,2026-06-22 22:26:32+00:00,"[0, 1, 2, 3]",7b1121eab8e9b6e18bbd0f51065b1e113f3eb647dfc24a38360293ca5f7ffbee
ibm_marrakesh,4,2026-07-21T00:00:00Z,2026-07-20 23:24:30+00:00,"[0, 1, 2, 3]",cba64e2bfd479c1f0c4ed324a54eddb484962713b9989af096ce10cc0fa66d20
ibm_marrakesh,7,2026-09-01T00:00:00Z,2026-08-31 22:56:30+00:00,"[0, 1, 2, 3]",f15c263c419bb7ee710f3712081e5be382932539b25cf84fcf3d4b16474ecf1b
