dataset,backend,proxy,spearman_rho,kendall_tau,ci95_low,ci95_high,n_architectures,n_arch_snapshot
breast_cancer,ibm_fez,N2Q,0.5789074245838369,0.44879694572157125,,,16,64
breast_cancer,ibm_fez,Depth,0.5341519631091134,0.4002853982749684,,,16,64
breast_cancer,ibm_fez,E2Q,0.9104149835370627,0.7467689997509867,0.7877528396386454,0.9531162549654916,16,64
breast_cancer,ibm_fez,OLD,0.8415147942608688,0.6481126128186215,,,16,64
breast_cancer,ibm_fez,CARE,0.8389962485959426,0.6431424240700124,,,16,64
breast_cancer,ibm_kingston,N2Q,0.2938004255557887,0.22276052780340763,,,16,64
breast_cancer,ibm_kingston,Depth,0.24121197639880476,0.17943828198533066,,,16,64
breast_cancer,ibm_kingston,E2Q,0.5212512791847927,0.37488003191771835,0.3668671089534895,0.669576140485596,16,64
breast_cancer,ibm_kingston,OLD,0.5276582126717088,0.38171049589317585,,,16,64
breast_cancer,ibm_kingston,CARE,0.5322373866079381,0.3846926091423413,,,16,64
breast_cancer,ibm_marrakesh,N2Q,0.5340381263761441,0.41276215445925535,,,16,64
breast_cancer,ibm_marrakesh,Depth,0.47593477587681166,0.3631236238993082,,,16,64
breast_cancer,ibm_marrakesh,E2Q,0.6705597028859108,0.48355536031939733,0.3841080352437287,0.8049854493912248,16,64
breast_cancer,ibm_marrakesh,OLD,0.6579815028967961,0.492048686112297,,,16,64
breast_cancer,ibm_marrakesh,CARE,0.6645297216256041,0.4990069503603497,,,16,64
iris_binary,ibm_fez,N2Q,0.47580151641074275,0.3439684620493794,,,16,64
iris_binary,ibm_fez,Depth,0.47704720620609126,0.3365794993452652,,,16,64
iris_binary,ibm_fez,E2Q,0.9045067667709756,0.7437779356665368,0.7942603773037444,0.9625459581201705,16,64
iris_binary,ibm_fez,OLD,0.7886482311671007,0.5835001590867037,,,16,64
iris_binary,ibm_fez,CARE,0.7840690572308715,0.576541894838651,,,16,64
iris_binary,ibm_kingston,N2Q,0.09011250723378313,0.057874058694022575,,,16,64
iris_binary,ibm_kingston,Depth,0.1244067918244412,0.0690147238405118,,,16,64
iris_binary,ibm_kingston,E2Q,0.3323257430599118,0.2253268276952243,0.16370164009228744,0.5547743420964593,16,64
iris_binary,ibm_kingston,OLD,0.4106603186010486,0.27137230567405474,,,16,64
iris_binary,ibm_kingston,CARE,0.412904113829801,0.26441404142600206,,,16,64
iris_binary,ibm_marrakesh,N2Q,0.40681497041641507,0.2948301103280396,,,16,64
iris_binary,ibm_marrakesh,Depth,0.40872544348283246,0.28561478020150266,,,16,64
iris_binary,ibm_marrakesh,E2Q,0.5616011936880704,0.3958174805088675,0.26725728913080576,0.7750280828443671,16,64
iris_binary,ibm_marrakesh,OLD,0.5621393924115157,0.3936389488898376,,,16,64
iris_binary,ibm_marrakesh,CARE,0.5690081533158599,0.396621062139003,,,16,64
digits_01,ibm_fez,N2Q,0.6016225068014814,0.46190050618059525,,,16,64
digits_01,ibm_fez,Depth,0.6187893706618071,0.46186776724034817,,,16,64
digits_01,ibm_fez,E2Q,0.8196391259371805,0.6410847354337577,0.6238657643054003,0.9339895507346071,16,64
digits_01,ibm_fez,OLD,0.7901822544357375,0.608351102829749,,,16,64
digits_01,ibm_fez,CARE,0.7892664196484918,0.6053689895805836,,,16,64
digits_01,ibm_kingston,N2Q,0.27688096102330456,0.20965696734438366,,,16,64
digits_01,ibm_kingston,Depth,0.28663621484439056,0.20704417152153537,,,16,64
digits_01,ibm_kingston,E2Q,0.5057479351900601,0.36391279694140205,0.2215864492013675,0.7383072147254407,16,64
digits_01,ibm_kingston,OLD,0.5165308200066713,0.38270453364289764,,,16,64
digits_01,ibm_kingston,CARE,0.5265134191876514,0.391650873390394,,,16,64
digits_01,ibm_marrakesh,N2Q,0.5320750945795576,0.4105782277160847,,,16,64
digits_01,ibm_marrakesh,Depth,0.5428660006884707,0.41090304809658557,,,16,64
digits_01,ibm_marrakesh,E2Q,0.6226069668076682,0.4576328049208317,0.3077139889591835,0.8117628155201837,16,64
digits_01,ibm_marrakesh,OLD,0.6128308478855747,0.45626332712231177,,,16,64
digits_01,ibm_marrakesh,CARE,0.6213481114069613,0.4592454403714772,,,16,64
