dataset,seed,architecture_id,rotations,entanglement,reps,twoq_count,logical_depth,n_params,train_loss,fit_bacc,val_bacc,test_bacc,test_auc,test_logloss,test_brier
breast_cancer,17,A000,ry,full_chain,1,3,4,4,0.24231696239297573,0.8716666666666666,0.8633333333333333,0.8867478025693036,0.9830966869506423,0.22839590018247388,0.06665205603792639
breast_cancer,17,A003,ry,full_chain,4,12,13,16,0.26526306436309033,0.9066666666666667,0.8966666666666667,0.9039891818796484,0.9918864097363083,0.2187925710285042,0.05981803898797461
breast_cancer,17,A013,ry,right_ladder,2,4,7,8,0.2616553944610609,0.9083333333333333,0.8966666666666667,0.9039891818796484,0.982420554428668,0.23909524324577625,0.0656640016302094
breast_cancer,17,A015,ry,right_ladder,4,8,13,16,0.242927018406975,0.8633333333333333,0.8633333333333333,0.8867478025693036,0.9830966869506423,0.22956235454910662,0.06742467482167275
breast_cancer,17,A018,rx+rz,full_chain,3,9,13,24,0.3070998243227363,0.9199999999999999,0.8733333333333333,0.9016227180527383,0.9810682893847193,0.2768418910189873,0.07751370065793924
breast_cancer,17,A020,rx+rz,outer_pairs,1,2,4,8,0.3072846808819893,0.9199999999999999,0.8733333333333333,0.9016227180527383,0.9803921568627452,0.27677929799250006,0.07786572492262248
breast_cancer,17,A022,rx+rz,outer_pairs,3,6,10,24,0.3081832430591622,0.9199999999999999,0.8733333333333333,0.9016227180527383,0.9790398918187965,0.2792066946020286,0.07731849915193027
breast_cancer,17,A025,rx+rz,left_ladder,2,4,9,16,0.29541551284895584,0.9066666666666667,0.8733333333333333,0.9114266396213657,0.9830966869506423,0.26563281266320177,0.07235593893958266
breast_cancer,17,A037,ry+rz,outer_pairs,2,4,7,16,0.2373684553736704,0.8583333333333334,0.8633333333333333,0.8695064232589587,0.9871534820824881,0.2195979698469305,0.06432982352821139
breast_cancer,17,A040,ry+rz,left_ladder,1,2,5,8,0.2511092686913341,0.8983333333333334,0.8966666666666667,0.9039891818796484,0.982420554428668,0.2310970747499112,0.06390935921076593
breast_cancer,17,A042,ry+rz,left_ladder,3,6,13,24,0.23445406808139654,0.915,0.9133333333333333,0.8867478025693036,0.9912102772143341,0.21438695452885206,0.057477215029278585
breast_cancer,17,A045,ry+rz,right_ladder,2,4,9,16,0.2711414560175941,0.815,0.8133333333333332,0.8695064232589587,0.9830966869506423,0.2649050517830565,0.08304477686995257
breast_cancer,17,A047,ry+rz,right_ladder,4,8,17,32,0.24453670828678947,0.89,0.88,0.8867478025693036,0.982420554428668,0.2269666514515311,0.06376492374882589
breast_cancer,17,A058,rx+ry+rz,left_ladder,3,6,16,36,0.4990183352630663,0.8,0.8,0.8062880324543611,0.947261663286004,0.474992214404199,0.15956581176291207
breast_cancer,17,A059,rx+ry+rz,left_ladder,4,8,21,48,0.2583768004082618,0.8966666666666667,0.8966666666666667,0.9039891818796484,0.991210277214334,0.2176669152898807,0.05825992880307501
breast_cancer,17,A063,rx+ry+rz,right_ladder,4,8,21,48,0.3583016299698671,0.9183333333333333,0.8166666666666667,0.8624070317782285,0.9756592292089249,0.3296951051352741,0.0953657654767522
breast_cancer,29,A000,ry,full_chain,1,3,4,4,0.24187670318792423,0.8866666666666667,0.88,0.8867478025693036,0.9830966869506423,0.22714049163545394,0.06567354262867998
breast_cancer,29,A003,ry,full_chain,4,12,13,16,0.25579440203116643,0.8966666666666667,0.8966666666666667,0.9039891818796484,0.9871534820824881,0.21994744604360728,0.05885298842626842
breast_cancer,29,A013,ry,right_ladder,2,4,7,8,0.24238727153956363,0.895,0.88,0.8867478025693036,0.982420554428668,0.22621871846255148,0.06441149451092636
breast_cancer,29,A015,ry,right_ladder,4,8,13,16,0.24406130543997478,0.89,0.88,0.8867478025693036,0.982420554428668,0.22667172702639266,0.06380341858323758
breast_cancer,29,A018,rx+rz,full_chain,3,9,13,24,0.2987097376302178,0.9116666666666666,0.8733333333333333,0.9016227180527383,0.9810682893847193,0.27137576337086766,0.07549826147074333
