dataset,backend,proxy,demeaned_spearman_rho,demeaned_kendall_tau,ci95_low,ci95_high
breast_cancer,ibm_fez,N2Q,,,,
breast_cancer,ibm_fez,Depth,,,,
breast_cancer,ibm_fez,E2Q,0.9304067402688228,0.7906379396562517,0.8621775601879208,0.9617088313375964
breast_cancer,ibm_fez,OLD,0.6138611620212263,0.5069592523581241,,
breast_cancer,ibm_fez,CARE,0.5702216344089606,0.4771381198664698,,
breast_cancer,ibm_kingston,N2Q,,,,
breast_cancer,ibm_kingston,Depth,,,,
breast_cancer,ibm_kingston,E2Q,0.8427681915718629,0.6440757995182075,0.7814877807927617,0.8821303312412846
breast_cancer,ibm_kingston,OLD,0.8416521694789556,0.6620291413147269,,
breast_cancer,ibm_kingston,CARE,0.8463229268939095,0.651094726067787,,
breast_cancer,ibm_marrakesh,N2Q,,,,
breast_cancer,ibm_marrakesh,Depth,,,,
breast_cancer,ibm_marrakesh,E2Q,0.3423101713932995,0.25723151126268967,0.26111200214477237,0.40085429813944295
breast_cancer,ibm_marrakesh,OLD,0.5095704756236027,0.3797224203937322,,
breast_cancer,ibm_marrakesh,CARE,0.5540342545443897,0.40954355288538663,,
iris_binary,ibm_fez,N2Q,,,,
iris_binary,ibm_fez,Depth,,,,
iris_binary,ibm_fez,E2Q,0.9325822464423822,0.7936290037407016,0.8648258623612649,0.9669732609133971
iris_binary,ibm_fez,OLD,0.5669933167839188,0.46918581786869534,,
iris_binary,ibm_fez,CARE,0.52568916787913,0.4353885343781537,,
iris_binary,ibm_kingston,N2Q,,,,
iris_binary,ibm_kingston,Depth,,,,
iris_binary,ibm_kingston,E2Q,0.793624652114409,0.5643140905995441,0.7524763745646562,0.8449989838285009
iris_binary,ibm_kingston,OLD,0.8510623719179069,0.6610351035650051,,
iris_binary,ibm_kingston,CARE,0.8263348326622683,0.6242557068252981,,
iris_binary,ibm_marrakesh,N2Q,,,,
iris_binary,ibm_marrakesh,Depth,,,,
iris_binary,ibm_marrakesh,E2Q,0.36266832916481695,0.2721868316849391,0.26876157193847816,0.4283688939465428
iris_binary,ibm_marrakesh,OLD,0.5526376064938398,0.4115316283848302,,
iris_binary,ibm_marrakesh,CARE,0.5916063766911516,0.43737660987759736,,
digits_01,ibm_fez,N2Q,,,,
digits_01,ibm_fez,Depth,,,,
digits_01,ibm_fez,E2Q,0.9163461003681347,0.7617243201732361,0.849754027818439,0.9562728763502472
digits_01,ibm_fez,OLD,0.6286976855746095,0.5168996298553423,,
digits_01,ibm_fez,CARE,0.5858366175315026,0.4831023463648007,,
digits_01,ibm_kingston,N2Q,,,,
digits_01,ibm_kingston,Depth,,,,
digits_01,ibm_kingston,E2Q,0.8151507132001531,0.5962187741670094,0.7349277323755269,0.8783531967954155
digits_01,ibm_kingston,OLD,0.7841835365792771,0.5735597815894856,,
digits_01,ibm_kingston,CARE,0.803324483632716,0.5864822723358691,,
digits_01,ibm_marrakesh,N2Q,,,,
digits_01,ibm_marrakesh,Depth,,,,
digits_01,ibm_marrakesh,E2Q,0.3048914652080806,0.2283178917796742,0.21566223949273336,0.37150537885992013
digits_01,ibm_marrakesh,OLD,0.48855206725630995,0.35785358989985233,,
digits_01,ibm_marrakesh,CARE,0.5328784709590101,0.38767472239150674,,
